iter	Logloss
0	0.661628553
1	0.634911301
2	0.6110810446
3	0.5924711892
4	0.5716194386
5	0.5540209858
6	0.5384190798
7	0.5244586216
8	0.5126412332
9	0.5021542529
10	0.4929955103
11	0.4834874146
12	0.4775095259
13	0.4692609406
14	0.4619798937
15	0.4559076765
16	0.4511181006
17	0.445543256
18	0.4407911741
19	0.4359959777
20	0.4320541228
21	0.4282048937
22	0.4242427972
23	0.4205588719
24	0.4174440438
25	0.4149656316
26	0.412523255
27	0.4100071386
28	0.4071956193
29	0.4052073859
30	0.4032607227
31	0.4018206211
32	0.3999418171
33	0.3982010477
34	0.3972822005
35	0.3968243266
36	0.3950743143
37	0.3945058612
38	0.3935398775
39	0.3919696549
40	0.3906284898
41	0.3892039046
42	0.3883107594
43	0.3873222797
44	0.3863076228
45	0.3860206969
46	0.3854899686
47	0.3841079261
48	0.3830414433
49	0.3824130047
50	0.3818521683
51	0.3807156358
52	0.379929477
53	0.3791855707
54	0.3781349082
55	0.3773603352
56	0.3767235476
57	0.3758372581
58	0.3752598536
59	0.3743610961
60	0.37351816
61	0.3725866561
62	0.3713652411
63	0.3707149524
64	0.3702715148
65	0.3700702498
66	0.3695539913
67	0.3693847248
68	0.3686376192
69	0.3680629537
70	0.3668117394
71	0.3661445057
72	0.3655095379
73	0.3648984469
74	0.3641009843
75	0.3631539263
76	0.3628602983
77	0.3621912766
78	0.3620048627
79	0.3616287701
80	0.3614089756
81	0.3601496582
82	0.3593494962
83	0.358832943
84	0.3582005747
85	0.3577622304
86	0.3573101065
87	0.3571115295
88	0.3570346794
89	0.3565613531
90	0.3562817618
91	0.3556876021
92	0.3554592259
93	0.3546645386
94	0.3545672059
95	0.3539770952
96	0.3534132876
97	0.3531484464
98	0.3527389891
99	0.3522986732
