iter	Passed	Remaining
0	4	461
1	9	444
2	12	413
3	17	416
4	19	364
5	21	336
6	23	315
7	25	288
8	27	273
9	29	264
10	32	262
11	34	253
12	35	237
13	37	228
14	38	219
15	40	211
16	41	204
17	43	196
18	44	190
19	46	184
20	47	179
21	49	174
22	50	168
23	51	163
24	53	159
25	54	155
26	55	150
27	57	146
28	58	144
29	60	141
30	62	138
31	63	134
32	64	131
33	65	127
34	66	124
35	67	119
36	68	116
37	69	112
38	70	109
39	71	106
40	74	106
41	77	106
42	78	104
43	79	101
44	80	98
45	81	95
46	82	92
47	83	90
48	84	87
49	85	85
50	86	83
51	88	82
52	90	80
53	91	77
54	92	75
55	93	73
56	94	71
57	95	69
58	96	67
59	97	65
60	99	63
61	100	61
62	102	59
63	103	58
64	104	56
65	105	54
66	106	52
67	107	50
68	108	48
69	109	46
70	110	45
71	111	43
72	112	41
73	113	39
74	114	38
75	116	36
76	118	35
77	119	33
78	120	32
79	121	30
80	122	28
81	123	27
82	124	25
83	125	23
84	126	22
85	128	20
86	129	19
87	130	17
88	132	16
89	133	14
90	134	13
91	135	11
92	136	10
93	138	8
94	138	7
95	139	5
96	140	4
97	142	2
98	143	1
99	144	0
