iter	RMSE
0	0.7236177532
1	0.577475536
2	0.5158466331
3	0.4752694765
4	0.456345004
5	0.4464230256
6	0.440066936
7	0.4365922047
8	0.4319812197
9	0.4298826893
10	0.4280197962
11	0.426243228
12	0.4243160652
13	0.423211198
14	0.4195507386
15	0.4183666139
16	0.4170915126
17	0.4159180713
18	0.4155034403
19	0.4150089479
20	0.4130611119
21	0.4116873922
22	0.4099970121
23	0.408967184
24	0.4082864782
25	0.4072171007
26	0.4057594858
27	0.4048330116
28	0.4033556902
29	0.4025030018
30	0.402013773
31	0.4011745004
32	0.400146931
33	0.3989707415
34	0.3985269386
35	0.3972214615
36	0.3967904291
37	0.3958865705
38	0.3952095288
39	0.3948743891
40	0.3943016587
41	0.3937468709
42	0.3931713055
43	0.3923031295
44	0.3919861712
45	0.3913037389
46	0.3900679067
47	0.3895696878
48	0.3889656832
49	0.3884647724
50	0.3874069288
51	0.3864343912
52	0.3859868326
53	0.3850157972
54	0.384710414
55	0.3840400706
56	0.3834209388
57	0.3825105687
58	0.3814060579
59	0.380971675
60	0.3802898001
61	0.3797077012
62	0.3792356152
63	0.3785072394
64	0.3776917043
65	0.3768312564
66	0.3760726451
67	0.3752959072
68	0.3750651303
69	0.3746385452
70	0.3729996384
71	0.3725336954
72	0.3720202362
73	0.3715467177
74	0.3711517666
75	0.3706178436
76	0.3702497837
77	0.3691707919
78	0.3686326189
79	0.3678938914
80	0.36728161
81	0.3668886316
82	0.3665695958
83	0.3661308034
84	0.365624926
85	0.3653435989
86	0.3646896865
87	0.3639070654
88	0.3633764931
89	0.3625210347
90	0.361792596
91	0.3612196274
92	0.3606574709
93	0.3600170492
94	0.3593573856
95	0.3585712334
96	0.3580532997
97	0.3575020142
98	0.3572454101
99	0.3568749021
