iter	Passed	Remaining
0	152	15145
1	162	7973
2	173	5614
3	180	4342
4	191	3643
5	201	3158
6	214	2847
7	218	2515
8	224	2271
9	239	2155
10	254	2056
11	263	1931
12	271	1817
13	285	1755
14	295	1672
15	318	1669
16	338	1652
17	347	1582
18	363	1550
19	379	1518
20	390	1469
21	398	1411
22	407	1365
23	415	1317
24	434	1302
25	447	1273
26	456	1235
27	463	1190
28	470	1152
29	482	1125
30	492	1095
31	501	1066
32	515	1045
33	520	1010
34	525	976
35	535	951
36	549	935
37	566	924
38	574	899
39	582	874
40	590	849
41	600	829
42	608	806
43	620	789
44	629	769
45	636	746
46	648	731
47	661	716
48	668	696
49	677	677
50	683	656
51	690	637
52	696	617
53	710	605
54	723	591
55	730	574
56	741	559
57	747	541
58	757	526
59	763	509
60	789	504
61	802	492
62	811	476
63	820	461
64	827	445
65	836	431
66	852	420
67	861	405
68	867	389
69	871	373
70	877	358
71	889	345
72	905	334
73	915	321
74	920	306
75	931	294
76	943	281
77	954	269
78	962	255
79	971	242
80	987	231
81	1003	220
82	1010	206
83	1020	194
84	1028	181
85	1038	169
86	1058	158
87	1068	145
88	1075	132
89	1085	120
90	1097	108
91	1106	96
92	1116	84
93	1123	71
94	1129	59
95	1140	47
96	1152	35
97	1159	23
98	1166	11
99	1176	0
